Actual_Sales,Predicted_Sales
30.0,138.20319
78.75,138.2027
96.99,138.20242
141.12,138.20235
489.0,138.20251
155.0,138.20407
45.0,138.20442
36.49,138.20392
248.99999999999997,138.20325
500.00000000000006,138.20346
15.9,138.20488
84.9,138.2045
29.9,138.2039
139.8,138.20319
18.9,138.20297
38.9,138.2025
8.9,138.20212
49.9,138.20172
119.89999999999999,138.20158
86.6,138.2018
48.9,138.20195
89.49,138.20192
100.0,138.20198
44.99,138.20212
64.9,138.20201
134.0,138.20195
319.88,138.20218
579.0,138.20317
189.9,138.20518
28.000000000000004,138.20558
1970.0,138.20479
75.9,138.21133
69.9,138.2114
99.0,138.20947
338.0,138.20749
118.8,138.20679
84.0,138.20576
79.9,138.20473
230.0,138.20387
139.42,138.20383
18.9,138.20369
87.28,138.2031
12.25,138.20274
200.0,138.20224
45.9,138.20253
13.77,138.20241
109.99,138.20206
130.0,138.20207
94.9,138.20229
51.8,138.20238
26.0,138.20224
199.0,138.20197
139.8,138.20238
19.9,138.20268
2370.0,138.20242
304.25,138.21114
119.99,138.2128
14.9,138.21127
55.9,138.2087
41.9,138.2065
13.8,138.20479
39.99,138.20346
220.0,138.20264
96.0,138.20282
34.3,138.20277
69.99,138.20245
109.96,138.20226
44.4,138.20229
99.0,138.20212
53.900000000000006,138.20215
150.0,138.20204
69.9,138.2023
119.99,138.2023
174.99,138.20242
49.0,138.20277
69.9,138.20262
379.0,138.20242
29.989999999999995,138.20348
49.9,138.20332
29.9,138.20291
8.9,138.20242
18.0,138.20195
881.64,138.2016
74.0,138.20471
74.99,138.20508
109.0,138.20457
18.9,138.20403
27.9,138.20325
199.99,138.20258
137.7,138.20276
0.0,138.2029
134.49,138.20247
819.0,138.20248
189.0,138.20528
55.49999999999999,138.20589
53.00000000000001,138.2052
49.9,138.20427
149.99,138.20343
70.0,138.20319
28.899999999999995,138.20285
95.0,138.20241
103.9,138.20227
58.0,138.20229
21.99,138.20218
28.99,138.2019
104.9,138.20166
40.6,138.2018
199.9,138.20174
250.00000000000003,138.20227
260.0,138.20305
161.9,138.20381
12.65,138.204
154.9,138.20341
28.99,138.20326
101.08,138.20279
109.9,138.20259
126.62999999999998,138.20256
79.9,138.20264
99.9,138.20256
274.92,138.20251
69.9,138.20319
276.0,138.20311
999.0000000000001,138.20367
97.9,138.20708
69.9,138.20715
69.9,138.2061
79.9,138.20494
79.9,138.20403
69.0,138.20335
330.0,138.20285
49.0,138.20352
59.89999999999999,138.20331
199.0,138.20291
219.97000000000003,138.20311
78.0,138.2035
41.9,138.20332
151.0,138.20288
264.8,138.20287
79.9,138.20343
110.32,138.20332
40.35,138.20317
74.8,138.20276
112.35,138.20248
49.9,138.20245
13.649999999999999,138.20226
27.99,138.20192
104.0,138.20166
199.6,138.20177
119.00000000000001,138.20233
89.0,138.20262
79.99,138.20264
84.0,138.20253
33.0,138.20244
151.0,138.20216
99.8,138.20235
339.9,138.20242
77.67,138.2034
149.9,138.20341
119.89999999999999,138.20343
55.0,138.20332
135.0,138.20296
449.8,138.20288
179.99,138.20415
225.00000000000003,138.2045
43.99,138.20467
69.9,138.20407
36.79,138.20345
294.0,138.20284
499.9,138.20332
24.9,138.20486
379.99,138.20453
119.89999999999999,138.20511
114.90000000000002,138.20482
819.8,138.20432
209.99,138.20659
59.989999999999995,138.20685
224.00000000000003,138.20589
9.9,138.20538
130.0,138.2043
219.0,138.20372
99.97,138.20375
159.9,138.2035
332.57,138.20346
350.0,138.20415
59.989999999999995,138.20499
55.0,138.20457
36.0,138.20384
31.500000000000004,138.20311
74.99,138.20248
37.9,138.20221
50.9,138.20195
39.9,138.2018
21.2,138.20166
151.0,138.20148
277.8,138.20184
59.97,138.20277
27.0,138.20284
83.9,138.2025
29.9,138.20235
364.0,138.20207
569.7,138.2031
79.9,138.2051
326.16,138.20508
37.0,138.20543
115.9,138.2047
109.9,138.20409
18.95,138.20361
109.9,138.20293
224.00000000000003,138.20268
37.99,138.20305
50.5,138.20279
132.0,138.20247
140.0,138.2025
149.9,138.20267
8.9,138.20288
28.899999999999995,138.2025
79.9,138.20212
64.99,138.202
43.9,138.20193
94.9,138.20181
104.99999999999999,138.2019
109.9,138.20207
18.0,138.20224
34.0,138.20203
89.15,138.20181
50.9,138.20184
19.9,138.2018
377.9,138.20161
144.9,138.20284
113.85,138.2033
35.0,138.20332
50.9,138.20291
62.989999999999995,138.20251
59.989999999999995,138.20226
41.97,138.20207
14.49,138.20187
385.98,138.20161
239.9,138.20284
37.89,138.20367
99.9,138.20343
81.9,138.20319
249.9,138.2029
196.0,138.20332
39.99,138.20364
70.0,138.20326
149.9,138.2029
19.9,138.2029
16.9,138.2025
59.989999999999995,138.20206
27.200000000000003,138.20186
350.0,138.20166
22.22,138.20273
143.8,138.2027
104.0,138.20284
129.9,138.20282
129.9,138.20287
199.99,138.20291
500.00000000000006,138.20325
39.0,138.20473
25.77,138.20448
1377.5,138.20372
157.0,138.20819
69.98,138.20859
169.99,138.20735
230.0,138.20625
84.9,138.20567
21.9,138.20479
579.99,138.20375
125.00000000000001,138.20503
18.99,138.205
59.989999999999995,138.20416
18.9,138.2034
135.0,138.20268
98.0,138.20256
139.9,138.2025
269.98,138.20264
99.8,138.20331
129.0,138.20334
158.0,138.2033
99.8,138.20334
107.90000000000002,138.20319
169.0,138.20303
47.0,138.20314
78.0,138.20284
129.0,138.20259
